Open,High,Low,Close,Adj Close,Volume
44900,45250,44650,44800,44751.88672,1141723
44650,44800,43400,43750,43703.01563,1875514
43150,44200,43150,43950,43902.80078,1134533
43050,43100,41600,41600,41555.32422,2511805
41750,42400,40700,40850,40806.12891,1859309
40600,42100,40600,42050,42004.83984,1130815
42100,42350,41200,41400,41355.53906,1273485
41900,43200,41900,42650,42604.19531,1343809
42700,44000,42600,43650,43603.12109,1373599
43250,43650,43050,43200,43153.60547,589597
43250,43900,42400,43150,43103.66016,941701
43400,44050,42800,42800,42754.03516,1063385
42400,42950,41800,41800,41755.10938,1389354
41000,41400,40450,40500,40456.50391,1699061
39750,40150,38850,39050,39008.0625,2483524
38200,38900,37850,37950,37909.24219,2585077
38300,39700,37850,39600,39557.47266,2739742
39600,39650,38850,38950,38908.16797,1422352
38250,38500,37400,37650,37609.56641,2073618
37650,38050,37300,37750,37709.45703,1323041
37650,38400,37600,38000,37959.19141,1290753
38250,38950,37450,37800,37759.40625,1791726
38000,38300,37450,37600,37559.62109,1272093
38000,38600,37900,38550,38508.59766,1529650
39250,41550,38900,41300,41255.64453,3675484
43000,44700,42300,44700,44651.99609,4871031
44700,44750,42850,43750,43703.01563,2026104
44350,45000,43850,43950,43902.80078,1515109
43450,46500,43450,45600,45551.02734,3198261
45800,46100,45000,45650,45600.97266,1978790
45800,46450,44900,45000,44951.67188,1288632
46150,46950,45500,46350,46300.22266,1718239
47200,48450,46800,48300,48248.12891,2792797
47400,48250,46850,48200,48148.23438,1565115
48150,48150,47200,47500,47448.98828,1144308
47250,48150,47000,47800,47748.66406,929546
48300,49600,48300,49250,49197.10938,2483017
48750,51000,48250,50300,50245.98047,2467921
50400,50600,49600,50300,50245.98047,1394573
50400,50900,50000,50500,50445.76563,1011208
50800,51000,49300,49850,49796.46484,1480318
50000,51200,49800,51100,51045.12109,1423510
50800,51300,50100,50500,50445.76563,1284120
50200,50900,50000,50500,50445.76563,1613598
50400,50400,49650,49700,49646.625,1105367
49800,51300,49750,50800,50745.44141,1785113
50700,51200,50200,50800,50745.44141,1142447
50700,51100,50200,50500,50445.76563,1039034
50200,50800,50000,50500,50445.76563,723544
51400,52000,50700,51700,51644.47656,1481560
52000,53200,51900,52100,52044.04688,1538081
52500,52700,51800,51800,51744.36719,966939
51800,52000,50700,50900,50845.33594,886654
52400,54900,52300,54300,54241.68359,4990407
54400,55000,54000,54900,54841.03906,2212939
55000,55000,53700,53900,53842.11328,1357544
