Date,Open,High,Low,Close,Adj Close,Volume
2024-02-15,74200.000000,74400.000000,73000.000000,73200.000000,72545.296875,14120600
2024-02-16,73300.000000,73400.000000,72500.000000,72800.000000,72148.867188,13444781
2024-02-19,72800.000000,73900.000000,72800.000000,73800.000000,73139.929688,12726404
2024-02-20,73700.000000,73700.000000,72800.000000,73300.000000,72644.398438,14681477
2024-02-21,73400.000000,73700.000000,72900.000000,73000.000000,72347.078125,11503495
2024-02-22,73800.000000,73900.000000,72700.000000,73100.000000,72446.187500,15208934
2024-02-23,73600.000000,74200.000000,72900.000000,72900.000000,72247.976563,16225166
2024-02-26,72300.000000,73200.000000,72200.000000,72800.000000,72148.867188,14669352
2024-02-27,73100.000000,73400.000000,72700.000000,72900.000000,72247.976563,13201981
2024-02-28,72900.000000,73900.000000,72800.000000,73200.000000,72545.296875,11795859
2024-02-29,72600.000000,73400.000000,72000.000000,73400.000000,72743.507813,21176403
2024-03-04,74300.000000,75000.000000,74000.000000,74900.000000,74230.085938,23210474
2024-03-05,74600.000000,74800.000000,73700.000000,73700.000000,73040.820313,19505125
2024-03-06,73200.000000,73500.000000,72700.000000,72900.000000,72247.976563,21547905
2024-03-07,73100.000000,73300.000000,72200.000000,72200.000000,71554.234375,14516963
2024-03-08,72800.000000,73400.000000,72600.000000,73300.000000,72644.398438,19271349
2024-03-11,72900.000000,73100.000000,72300.000000,72400.000000,71752.445313,9740504
2024-03-12,72600.000000,73500.000000,72100.000000,73300.000000,72644.398438,13011654
2024-03-13,73700.000000,74100.000000,73500.000000,74100.000000,73437.242188,15243134
2024-03-14,74400.000000,74500.000000,73600.000000,74300.000000,73635.453125,22545539
2024-03-15,73400.000000,73700.000000,72300.000000,72300.000000,71653.343750,22580555
2024-03-18,72600.000000,73000.000000,72500.000000,72800.000000,72148.867188,11520348
2024-03-19,72300.000000,73000.000000,71700.000000,72800.000000,72148.867188,15376066
2024-03-20,73700.000000,77200.000000,73400.000000,76900.000000,76212.203125,50106297
2024-03-21,79200.000000,79300.000000,77700.000000,79300.000000,78590.726563,44569799
2024-03-22,79600.000000,79900.000000,77800.000000,78900.000000,78194.312500,26724761
2024-03-25,79600.000000,79800.000000,77800.000000,78200.000000,77500.570313,18703996
2024-03-26,79700.000000,80100.000000,79200.000000,79900.000000,79185.359375,30551494
2024-03-27,79200.000000,80000.000000,79200.000000,79800.000000,79086.257813,17424595
2024-03-28,79400.000000,81000.000000,79200.000000,80800.000000,80441.218750,25084812
2024-03-29,81200.000000,82500.000000,80900.000000,82400.000000,82034.117188,27126366
2024-04-01,83200.000000,83300.000000,82000.000000,82000.000000,81635.890625,20116513
2024-04-02,82900.000000,85000.000000,82900.000000,85000.000000,84622.570313,37077944
2024-04-03,84300.000000,85000.000000,83500.000000,84100.000000,83726.562500,30493347
2024-04-04,85200.000000,85500.000000,84300.000000,85300.000000,84921.234375,25248934
2024-04-05,84500.000000,85000.000000,83800.000000,84500.000000,84124.789063,18883752
2024-04-08,85200.000000,86000.000000,84500.000000,84500.000000,84124.789063,18953232
2024-04-09,84500.000000,84900.000000,83100.000000,83600.000000,83228.789063,23725956
2024-04-11,83200.000000,84700.000000,82500.000000,84100.000000,83726.562500,25538009
2024-04-12,84700.000000,84900.000000,83200.000000,83700.000000,83328.343750,17061770
2024-04-15,82900.000000,83200.000000,81200.000000,82200.000000,81835.000000,26663772
2024-04-16,81200.000000,81300.000000,79400.000000,80000.000000,79644.773438,31949845
2024-04-17,80700.000000,80800.000000,78900.000000,78900.000000,78549.656250,22611631
2024-04-18,78800.000000,80100.000000,78300.000000,79600.000000,79246.546875,21370190
2024-04-19,78300.000000,78700.000000,76300.000000,77600.000000,77255.429688,31317563
2024-04-22,77400.000000,77500.000000,75100.000000,76100.000000,75762.085938,30469477
2024-04-23,76400.000000,76800.000000,75500.000000,75500.000000,75164.750000,18717699
2024-04-24,77500.000000,78800.000000,77200.000000,78600.000000,78250.984375,22166150
2024-04-25,77300.000000,77500.000000,76300.000000,76300.000000,75961.203125,15549134
2024-04-26,77800.000000,77900.000000,76500.000000,76700.000000,76359.421875,12755629
2024-04-29,77400.000000,77600.000000,76200.000000,76700.000000,76359.421875,14664474
2024-04-30,77000.000000,78500.000000,76600.000000,77500.000000,77155.875000,19007007
2024-05-02,77600.000000,78600.000000,77300.000000,78000.000000,77653.648438,18900640
2024-05-03,79000.000000,79000.000000,77500.000000,77600.000000,77255.429688,13151889
2024-05-07,79600.000000,81300.000000,79400.000000,81300.000000,80939.000000,26238868
2024-05-08,80800.000000,81400.000000,80500.000000,81300.000000,80939.000000,13089576
2024-05-09,81100.000000,81500.000000,79700.000000,79700.000000,79346.101563,18759935
2024-05-10,80400.000000,81100.000000,78900.000000,79200.000000,78848.320313,16976124
2024-05-13,79400.000000,79900.000000,77600.000000,78400.000000,78051.875000,18652344
2024-05-14,78600.000000,78800.000000,77900.000000,78300.000000,77952.320313,11763992
2024-05-16,80200.000000,80300.000000,78100.000000,78200.000000,77852.765625,20989778
2024-05-17,78600.000000,78800.000000,77200.000000,77400.000000,77056.312500,15918201
2024-05-20,78100.000000,79100.000000,77900.000000,78900.000000,78549.656250,19456783
2024-05-21,78500.000000,79000.000000,78200.000000,78400.000000,78051.875000,13690583
2024-05-22,78100.000000,78700.000000,77300.000000,77700.000000,77354.984375,19521506
2024-05-23,77700.000000,79100.000000,77100.000000,78300.000000,77952.320313,18728087
2024-05-24,76800.000000,77000.000000,75700.000000,75900.000000,75562.976563,27891278
2024-05-27,75300.000000,78200.000000,74000.000000,77200.000000,76857.203125,43825202
2024-05-28,76500.000000,78000.000000,76200.000000,77600.000000,77255.429688,18539072
2024-05-29,77700.000000,78200.000000,75200.000000,75200.000000,74866.085938,30244875
2024-05-30,74800.000000,75200.000000,73500.000000,73500.000000,73173.632813,28551273
2024-05-31,74500.000000,74700.000000,73500.000000,73500.000000,73173.632813,26198776
2024-06-03,74400.000000,76400.000000,74200.000000,75700.000000,75363.867188,15706268
2024-06-04,74900.000000,76100.000000,74900.000000,75300.000000,74965.640625,14098053
2024-06-05,78000.000000,78000.000000,76800.000000,77400.000000,77056.312500,23177968
2024-06-07,78400.000000,78600.000000,77100.000000,77300.000000,76956.757813,21189349
2024-06-10,76100.000000,76600.000000,75600.000000,75700.000000,75363.867188,14598755
2024-06-11,75900.000000,76000.000000,75100.000000,75200.000000,74866.085938,16971175
2024-06-12,75300.000000,77100.000000,75200.000000,76500.000000,76160.312500,19246725
2024-06-13,78400.000000,79000.000000,77800.000000,78600.000000,78250.984375,33763804
2024-06-14,79700.000000,80500.000000,79000.000000,79600.000000,79246.546875,22926612
2024-06-17,79200.000000,79500.000000,78000.000000,78100.000000,77753.210938,16123051
2024-06-18,78700.000000,80200.000000,78600.000000,79800.000000,79445.656250,18207598
2024-06-19,81100.000000,82500.000000,80500.000000,81200.000000,80839.445313,24168863
2024-06-20,81500.000000,82200.000000,81200.000000,81600.000000,81237.664063,20288913
2024-06-21,80700.000000,80800.000000,80000.000000,80000.000000,79644.773438,17907523
2024-06-24,79700.000000,80900.000000,79500.000000,80600.000000,80242.109375,15454227
2024-06-25,80600.000000,81800.000000,80100.000000,80800.000000,80441.218750,19088458
2024-06-26,80100.000000,81400.000000,79900.000000,81300.000000,80939.000000,17783242
2024-06-27,81300.000000,81600.000000,80500.000000,81600.000000,81600.000000,11739720
2024-06-28,81900.000000,81900.000000,80800.000000,81500.000000,81500.000000,9455929
2024-07-01,81500.000000,82100.000000,81300.000000,81800.000000,81800.000000,11317202
2024-07-02,82500.000000,82600.000000,81500.000000,81800.000000,81800.000000,14471904
2024-07-03,82300.000000,82300.000000,81000.000000,81800.000000,81800.000000,11440328
2024-07-04,82900.000000,84700.000000,82400.000000,84600.000000,84600.000000,43857229
2024-07-05,85600.000000,87100.000000,85200.000000,87100.000000,87100.000000,45791193
2024-07-08,87900.000000,88600.000000,86900.000000,87400.000000,87400.000000,24035809
2024-07-09,87800.000000,88200.000000,86900.000000,87800.000000,87800.000000,21336201
2024-07-10,87600.000000,88000.000000,87100.000000,87800.000000,87800.000000,17813847
2024-07-11,88500.000000,88800.000000,86700.000000,87600.000000,87600.000000,24677608
2024-07-12,85900.000000,86100.000000,84100.000000,84400.000000,84400.000000,26344386
2024-07-15,84700.000000,87300.000000,84100.000000,86700.000000,86700.000000,25193080
2024-07-16,86900.000000,88000.000000,86700.000000,87700.000000,87700.000000,16166688
2024-07-17,87100.000000,88000.000000,86400.000000,86700.000000,86700.000000,18186490
2024-07-18,83800.000000,86900.000000,83800.000000,86900.000000,86900.000000,24721790
2024-07-19,85600.000000,86100.000000,84100.000000,84400.000000,84400.000000,18569122
2024-07-22,84400.000000,84900.000000,82600.000000,83000.000000,83000.000000,18987560
2024-07-23,84200.000000,84700.000000,83400.000000,83900.000000,83900.000000,15766389
2024-07-24,82900.000000,83300.000000,81900.000000,82000.000000,82000.000000,16939083
2024-07-25,80400.000000,81000.000000,80100.000000,80400.000000,80400.000000,20323811
2024-07-26,80700.000000,81300.000000,80400.000000,80900.000000,80900.000000,14508334
2024-07-29,81600.000000,82000.000000,81100.000000,81200.000000,81200.000000,12797136
2024-07-30,80400.000000,81000.000000,80000.000000,81000.000000,81000.000000,13169636
2024-07-31,81200.000000,83900.000000,80900.000000,83900.000000,83900.000000,20744323
2024-08-01,86000.000000,86100.000000,83100.000000,83100.000000,83100.000000,20900338
2024-08-02,81000.000000,81400.000000,79500.000000,79600.000000,79600.000000,25800275
